bin_index,bin_left,bin_right,bin_center,pairs_1_98_normalized,pnimit_normalized,pairs_1_98_count,pnimit_count
180,179.296875,180.29296875,179.794921875,0.006636846633184524,0.006651612083492771,767256.0,424198.0
181,180.29296875,181.2890625,180.791015625,0.006623188113950007,0.006682784801944964,765677.0,426186.0
182,181.2890625,182.28515625,181.787109375,0.0066400125724117775,0.006717266093633281,767622.0,428385.0
183,182.28515625,183.28125,182.783203125,0.006658048045878507,0.006787357668825085,769707.0,432855.0
184,183.28125,184.27734375,183.779296875,0.006683176607231434,0.006912691440750831,772612.0,440848.0
185,184.27734375,185.2734375,184.775390625,0.006732084313217475,0.00695618898651863,778266.0,443622.0
186,185.2734375,186.26953125,185.771484375,0.006807712200277247,0.006946702319182827,787009.0,443017.0
187,186.26953125,187.265625,186.767578125,0.006848592606801835,0.006902922525461235,791735.0,440225.0
188,187.265625,188.26171875,187.763671875,0.0068085858611022535,0.006877629972713052,787110.0,438612.0
189,188.26171875,189.2578125,188.759765625,0.0067766410152928355,0.0069653150036912545,783417.0,444204.0
190,189.2578125,190.25390625,189.755859375,0.0067662003359286425,0.007080033116466027,782210.0,451520.0
191,190.25390625,191.25,190.751953125,0.006776589114649766,0.007206119549601887,783411.0,459561.0
192,191.25,192.24609375,191.748046875,0.006791692201783057,0.007306474377616997,785157.0,465961.0
193,192.24609375,193.2421875,192.744140625,0.0069418580623981365,0.007380595826371282,802517.0,470688.0
194,193.2421875,194.23828125,193.740234375,0.0068710396349294925,0.007455611060312577,794330.0,475472.0
195,194.23828125,195.234375,194.736328125,0.007002382862324618,0.0074872698724629694,809514.0,477491.0
196,195.234375,196.23046875,195.732421875,0.007073815447402919,0.007479931425664364,817772.0,477023.0
197,196.23046875,197.2265625,196.728515625,0.007050840762737386,0.007483929938343091,815116.0,477278.0
198,197.2265625,198.22265625,197.724609375,0.007007849730061295,0.0074960038785886595,810146.0,478048.0
199,198.22265625,199.21875,198.720703125,0.006974027810994189,0.007601392128446402,806236.0,484769.0
200,199.21875,200.21484375,199.716796875,0.0069609315487262615,0.0076832126741624715,804722.0,489987.0
201,200.21484375,201.2109375,200.712890625,0.006878859331818665,0.007624881430378689,795234.0,486267.0
202,201.2109375,202.20703125,201.708984375,0.0067727052165267145,0.007531614162092146,782962.0,480319.0
203,202.20703125,203.203125,202.705078125,0.00665379219314679,0.007367518337845563,769215.0,469854.0
